Front,Back
Does paging suffer from internal fragmentation?,"Yes, the last frame allocated for a process may not be completely full."
What is the average internal fragmentation per process in a paging system?,One-half page.
What is the effect of using smaller page sizes?,Less internal fragmentation.
What is the effect of using larger page sizes?,"The overhead per page-table entry is reduced, and disk I/O is more efficient with larger data transfers."
How have page sizes changed over time?,"Page sizes have generally grown over time as processes, data sets, and main memory have become larger."
What are typical modern page sizes?,4 KB or 8 KB.
Give examples of systems that support multiple page sizes.,"Windows 10 (4 KB, 2 MB) and Linux (default 4 KB, huge pages)."
What is the typical size of a 32-bit CPU's page-table entry?,4 bytes.
How much physical memory can a system address if it uses 4 KB frames and 4-byte page-table entries that can point to 2^32 physical page frames?,2^44 bytes (16 TB).
Is the physical memory size typically the same as the maximum logical size of a process?,"No, physical memory size is typically different from the maximum logical size of a process."
What information do page-table entries contain in addition to frame addresses?,Other information that reduces the bits available for frame addresses.
"When a process arrives and needs 'n' pages, how many frames must be available?",'n' frames must be available.
How does the programmer's view of memory differ from the actual physical memory in a paged system?,"The programmer views memory as a single contiguous space for one program, while the user program is actually scattered throughout physical memory, which also holds other programs."
